NET_INCOME,OP_PROFIT_LOSS,OP_REVENUES,OP_EXPENSES,INCOME_PRE_TAX,INCOME_TAX,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,REGION,YEAR,QUARTER
31361.56,52112.2,576783.76,524671.56,43561.05,12199.5,B6,JetBlue Airways,JetBlue Airways,L,2023,1
33012.91,43451.43,109796.97,66345.54,43154.13,10141.22,5X,United Parcel Service,United Parcel Service,L,2023,3
35783.22,46070.34,136185.79,90115.45,45295.21,9511.99,5X,United Parcel Service,United Parcel Service,L,2023,1
39287.06,67528.54,778485.91,710957.37,65036.14,25749.08,5Y,Atlas Air Inc.,Atlas Air Inc.,I,2023,4
39558.96,55042.11,345606.19,290564.08,52675.04,13116.09,5X,United Parcel Service,United Parcel Service,A,2023,2
40060.44,45714.35,109190.74,63476.39,45062.36,5001.92,5X,United Parcel Service,United Parcel Service,L,2023,4
41625.29,48767.68,95360.82,46593.13,47779.94,6154.65,B6,JetBlue Airways,JetBlue Airways,A,2023,3
42086,130143,1208422,1078279,27364,-14722,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,L,2023,1
42551.1,56052.01,363411.52,307359.51,53862.15,11311.05,5X,United Parcel Service,United Parcel Service,A,2023,1
48084.04,402729.51,8630655.8,8227926.29,78059.26,29975.21,AA,American Airlines Inc.,American Airlines Inc.,D,2023,1
48686.85,60228.15,363087.4,302859.26,59636.45,10949.6,5Y,Atlas Air Inc.,Atlas Air Inc.,D,2023,3
48811.14,-8259.54,52085.42,60344.96,-7984.66,-56795.8,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,L,2023,4
52925.01,52925.01,2188758.88,2135833.87,52925.01,0,AA,American Airlines Inc.,American Airlines Inc.,A,2023,2
54428,-11804,159610,171414,-14690,-69119,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,L,2023,4
55681.09,73890.06,376974.67,303084.62,72785.73,17104.65,5X,United Parcel Service,United Parcel Service,A,2023,3
58680.6,102321.11,613351.26,511030.15,92481.6,33801,B6,JetBlue Airways,JetBlue Airways,L,2023,2
60170,105215,843900,738685,83982,23812,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,L,2023,3
61325.32,71459.84,375104.43,303644.59,68982.36,7657.04,5X,United Parcel Service,United Parcel Service,A,2023,4
61400.66,98134.16,649682.01,551547.86,79669.55,18268.88,G4,Allegiant Air,Allegiant Air,D,2023,1
65300.56,134452.48,1929595.41,1795142.93,102914.77,37614.21,B6,JetBlue Airways,JetBlue Airways,D,2023,2
65712.69,107123.54,1294816.51,1187692.97,84545.3,18832.62,UA,United Air Lines Inc.,United Air Lines Inc.,L,2023,4
67685.08,125578.3,1113588.52,988010.22,89066.97,21381.89,UA,United Air Lines Inc.,United Air Lines Inc.,P,2023,1
68734.66,76471.13,876761.89,800290.76,84742.43,16007.77,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,D,2023,2
70284.55,115907.27,1184603.27,1068696.01,91690.33,21405.78,UA,United Air Lines Inc.,United Air Lines Inc.,L,2023,3
74778.55,109103.53,1272666.07,1163562.54,96403.86,21625.31,UA,United Air Lines Inc.,United Air Lines Inc.,L,2023,2
82063.05,97433.67,423696.25,326262.58,96077.17,14014.11,5Y,Atlas Air Inc.,Atlas Air Inc.,D,2023,4
83267.38,127901.96,683810.24,555908.28,111143.65,27876.27,G4,Allegiant Air,Allegiant Air,D,2023,2
96798.77,97517.01,684713.41,587196.4,97850.44,1051.67,5Y,Atlas Air Inc.,Atlas Air Inc.,I,2023,1
